date,name,value
2010-06-02,Max,21.1
2010-06-02,Min,4.9
2010-06-03,Max,20.9
2010-06-03,Min,6.3
2010-06-04,Max,20.4
2010-06-04,Min,9.8
2010-06-05,Max,20.7
2010-06-05,Min,13.9
2010-06-06,Max,21.3
2010-06-06,Min,13.5
2010-06-07,Max,20.2
2010-06-07,Min,6.3
2010-06-08,Max,17.3
2010-06-08,Min,10.6
2010-06-09,Max,17.8
2010-06-09,Min,6.4
2010-06-10,Max,18.9
2010-06-10,Min,2.7
2010-06-11,Max,19.9
2010-06-11,Min,3.2
2010-06-12,Max,22.7
2010-06-12,Min,6.4
2010-06-13,Max,24.6
2010-06-13,Min,5
2010-06-14,Max,19.8
2010-06-14,Min,12.1
2010-06-15,Max,15.7
2010-06-15,Min,14
2010-06-16,Max,18.2
2010-06-16,Min,11.5
2010-06-17,Max,18
2010-06-17,Min,6.9
2010-06-18,Max,20.1
2010-06-18,Min,9.3
2010-06-19,Max,20.4
2010-06-19,Min,13
2010-06-20,Max,20.4
2010-06-20,Min,7.4
2010-06-21,Max,20.3
2010-06-21,Min,7.7
2010-06-22,Max,19.6
2010-06-22,Min,8.3
2010-06-23,Max,17
2010-06-23,Min,12.3
2010-06-24,Max,15.1
2010-06-24,Min,2.4
2010-06-25,Max,15.6
2010-06-25,Min,0.1
2010-06-26,Max,16.7
2010-06-26,Min,-0.6
2010-06-27,Max,18.3
2010-06-27,Min,2.4
2010-06-28,Max,15.2
2010-06-28,Min,2.9
2010-06-29,Max,17.1
2010-06-29,Min,3.1
2010-06-30,Max,16.9
2010-06-30,Min,2.2
2010-07-01,Max,17.3
2010-07-01,Min,3
2010-07-02,Max,16.2
2010-07-02,Min,4.6
2010-07-03,Max,14.8
2010-07-03,Min,0
2010-07-04,Max,16.9
2010-07-04,Min,0.6
2010-07-05,Max,17
2010-07-05,Min,0.3
2010-07-06,Max,17.9
2010-07-06,Min,1.9
2010-07-07,Max,20.5
2010-07-07,Min,0.8
2010-07-08,Max,17.8
2010-07-08,Min,4.7
2010-07-09,Max,13.3
2010-07-09,Min,8.8
2010-07-10,Max,17.8
2010-07-10,Min,7.7
2010-07-11,Max,19
2010-07-11,Min,10
2010-07-12,Max,15.5
2010-07-12,Min,11.2
2010-07-13,Max,17.5
2010-07-13,Min,8.3
2010-07-14,Max,19.7
2010-07-14,Min,5.3
2010-07-15,Max,20.3
2010-07-15,Min,8
2010-07-16,Max,20.2
2010-07-16,Min,4.7
2010-07-17,Max,16.3
2010-07-17,Min,6.4
2010-07-18,Max,16.8
2010-07-18,Min,4.3
2010-07-19,Max,17.1
2010-07-19,Min,7.3
2010-07-20,Max,18.1
2010-07-20,Min,4.2
2010-07-21,Max,19.9
2010-07-21,Min,5.4
2010-07-22,Max,19.7
2010-07-22,Min,3
2010-07-23,Max,20.3
2010-07-23,Min,3.3
2010-07-24,Max,19.9
2010-07-24,Min,4
2010-07-25,Max,22.7
2010-07-25,Min,4.2
2010-07-26,Max,19.4
2010-07-26,Min,11.3
2010-07-27,Max,19.5
2010-07-27,Min,11.5
2010-07-28,Max,18.8
2010-07-28,Min,12.4
2010-07-29,Max,16.5
2010-07-29,Min,12.6
2010-07-30,Max,18.4
2010-07-30,Min,4
2010-07-31,Max,19.5
2010-07-31,Min,9.2
2010-08-01,Max,20.7
2010-08-01,Min,5.1
2010-08-02,Max,24.1
2010-08-02,Min,6.1
2010-08-03,Max,23.9
2010-08-03,Min,3.6
2010-08-04,Max,24
2010-08-04,Min,6.4
2010-08-05,Max,20.9
2010-08-05,Min,3.4
2010-08-06,Max,18.3
2010-08-06,Min,8.5
2010-08-07,Max,17.9
2010-08-07,Min,3.7
2010-08-08,Max,18.3
2010-08-08,Min,3
2010-08-09,Max,17.5
2010-08-09,Min,1.4
2010-08-10,Max,20.7
2010-08-10,Min,2.8
2010-08-11,Max,20.3
2010-08-11,Min,8.4
2010-08-12,Max,17.2
2010-08-12,Min,12.3
2010-08-13,Max,18
2010-08-13,Min,9
2010-08-14,Max,17.6
2010-08-14,Min,9
2010-08-15,Max,19.4
2010-08-15,Min,5.1
2010-08-16,Max,18.7
2010-08-16,Min,5.7
2010-08-17,Max,18.3
2010-08-17,Min,5.7
2010-08-18,Max,15.5
2010-08-18,Min,8.2
2010-08-19,Max,17.9
2010-08-19,Min,2.8
2010-08-20,Max,17.5
2010-08-20,Min,7.3
2010-08-21,Max,18.4
2010-08-21,Min,6.7
2010-08-22,Max,15.7
2010-08-22,Min,11
2010-08-23,Max,17.5
2010-08-23,Min,2.9
2010-08-24,Max,17.3
2010-08-24,Min,10.7
2010-08-25,Max,17.5
2010-08-25,Min,3.2
2010-08-26,Max,18.5
2010-08-26,Min,2.3
2010-08-27,Max,21.5
2010-08-27,Min,4
2010-08-28,Max,23.3
2010-08-28,Min,5.7
2010-08-29,Max,21.5
2010-08-29,Min,6.8
2010-08-30,Max,20.3
2010-08-30,Min,11.3
2010-08-31,Max,14.3
2010-08-31,Min,11.9
2010-09-01,Max,17.5
2010-09-01,Min,10.2
2010-09-02,Max,17.7
2010-09-02,Min,5.9
2010-09-03,Max,19
2010-09-03,Min,4.2
2010-09-04,Max,19.5
2010-09-04,Min,9.1
2010-09-05,Max,20
2010-09-05,Min,4.9
2010-09-06,Max,22.7
2010-09-06,Min,5.5
2010-09-07,Max,19.4
2010-09-07,Min,7.6
2010-09-08,Max,17.4
2010-09-08,Min,9.1
2010-09-09,Max,17
2010-09-09,Min,10.4
2010-09-10,Max,18.2
2010-09-10,Min,4.5
2010-09-11,Max,18.3
2010-09-11,Min,3.9
2010-09-12,Max,16.5
2010-09-12,Min,10
2010-09-13,Max,18.2
2010-09-13,Min,2.4
2010-09-14,Max,19.3
2010-09-14,Min,3.9
2010-09-15,Max,22
2010-09-15,Min,5.3
2010-09-16,Max,24.3
2010-09-16,Min,11.5
2010-09-17,Max,21.8
2010-09-17,Min,11.2
2010-09-18,Max,18.8
2010-09-18,Min,9.1
2010-09-19,Max,23.1
2010-09-19,Min,8.6
2010-09-20,Max,23.9
2010-09-20,Min,9.3
2010-09-21,Max,25.3
2010-09-21,Min,7.4
2010-09-22,Max,26.7
2010-09-22,Min,4.9
2010-09-23,Max,28.2
2010-09-23,Min,6.1
2010-09-24,Max,25.9
2010-09-24,Min,6.7
2010-09-25,Max,26.9
2010-09-25,Min,11
2010-09-26,Max,21.7
2010-09-26,Min,9.1
2010-09-27,Max,23.1
2010-09-27,Min,12.1
2010-09-28,Max,27.4
2010-09-28,Min,10.5
2010-09-29,Max,29
2010-09-29,Min,13.6
2010-09-30,Max,25
2010-09-30,Min,18.2
2010-10-01,Max,25.8
2010-10-01,Min,10.5
2010-10-02,Max,20.5
2010-10-02,Min,14.1
2010-10-03,Max,21.1
2010-10-03,Min,7.3
2010-10-04,Max,22.9
2010-10-04,Min,7.7
2010-10-05,Max,22.2
2010-10-05,Min,11.3
2010-10-06,Max,23.8
2010-10-06,Min,10
2010-10-07,Max,28.2
2010-10-07,Min,11.1
2010-10-08,Max,30.7
2010-10-08,Min,9.1
2010-10-09,Max,27.5
2010-10-09,Min,10.3
2010-10-10,Max,20.7
2010-10-10,Min,15.4
2010-10-11,Max,19.3
2010-10-11,Min,6.7
2010-10-12,Max,23.3
2010-10-12,Min,6.3
2010-10-13,Max,21.9
2010-10-13,Min,7.6
2010-10-14,Max,22
2010-10-14,Min,10
2010-10-15,Max,24
2010-10-15,Min,9
2010-10-16,Max,27.3
2010-10-16,Min,11.1
2010-10-17,Max,28.9
2010-10-17,Min,10.2
2010-10-18,Max,32.6
2010-10-18,Min,9.7
2010-10-19,Max,26.8
2010-10-19,Min,12.8
2010-10-20,Max,24.6
2010-10-20,Min,11
2010-10-21,Max,20.6
2010-10-21,Min,9.4
2010-10-22,Max,21.5
2010-10-22,Min,11.4
2010-10-23,Max,26.5
2010-10-23,Min,12.2
2010-10-24,Max,26.7
2010-10-24,Min,11.5
2010-10-25,Max,24.9
2010-10-25,Min,12.7
2010-10-26,Max,33.8
2010-10-26,Min,11.6
2010-10-27,Max,21.4
2010-10-27,Min,17.8
2010-10-28,Max,19.8
2010-10-28,Min,14.1
2010-10-29,Max,20.9
2010-10-29,Min,6.4
2010-10-30,Max,24.9
2010-10-30,Min,10.9
2010-10-31,Max,28.3
2010-10-31,Min,12.2
2010-11-01,Max,30.9
2010-11-01,Min,11.6
2010-11-02,Max,34.2
2010-11-02,Min,11.5
2010-11-03,Max,37
2010-11-03,Min,13.4
2010-11-04,Max,25.9
2010-11-04,Min,13.7
2010-11-05,Max,23.1
2010-11-05,Min,15.2
2010-11-06,Max,22.7
2010-11-06,Min,11.3
2010-11-07,Max,24
2010-11-07,Min,12.9
2010-11-08,Max,29.7
2010-11-08,Min,14.8
2010-11-09,Max,26.9
2010-11-09,Min,17.7
2010-11-10,Max,24.3
2010-11-10,Min,17.6
2010-11-11,Max,21
2010-11-11,Min,12.9
2010-11-12,Max,21.5
2010-11-12,Min,7.6
2010-11-13,Max,24.9
2010-11-13,Min,12.1
2010-11-14,Max,28.1
2010-11-14,Min,13.9
2010-11-15,Max,29.5
2010-11-15,Min,14.1
2010-11-16,Max,30.3
2010-11-16,Min,15.1
2010-11-17,Max,34.9
2010-11-17,Min,13.2
2010-11-18,Max,37.2
2010-11-18,Min,18.5
2010-11-19,Max,38.8
2010-11-19,Min,23
2010-11-20,Max,29.2
2010-11-20,Min,16.4
2010-11-21,Max,32.7
2010-11-21,Min,21
2010-11-22,Max,26.3
2010-11-22,Min,20.5
2010-11-23,Max,24.7
2010-11-23,Min,17.6
2010-11-24,Max,28.6
2010-11-24,Min,15.3
2010-11-25,Max,27.4
2010-11-25,Min,15.2
2010-11-26,Max,30.5
2010-11-26,Min,17.4
2010-11-27,Max,33.7
2010-11-27,Min,14.7
2010-11-28,Max,36.4
2010-11-28,Min,18.1
2010-11-29,Max,36.5
2010-11-29,Min,17.9
2010-11-30,Max,37.2
2010-11-30,Min,15.8
2010-12-01,Max,25.2
2010-12-01,Min,17.5
2010-12-02,Max,23
2010-12-02,Min,14.7
2010-12-03,Max,21.1
2010-12-03,Min,11.9
2010-12-04,Max,22.4
2010-12-04,Min,9.4
2010-12-05,Max,23
2010-12-05,Min,14.7
2010-12-06,Max,23.4
2010-12-06,Min,15.5
2010-12-07,Max,23.2
2010-12-07,Min,15
2010-12-08,Max,23.6
2010-12-08,Min,14.6
2010-12-09,Max,26
2010-12-09,Min,13.9
2010-12-10,Max,26.6
2010-12-10,Min,13.4
2010-12-11,Max,29.4
2010-12-11,Min,14.7
2010-12-12,Max,35.5
2010-12-12,Min,20
2010-12-13,Max,26.2
2010-12-13,Min,16.8
2010-12-14,Max,24.6
2010-12-14,Min,13.7
2010-12-15,Max,29.8
2010-12-15,Min,15.4
2010-12-16,Max,33.1
2010-12-16,Min,18
2010-12-17,Max,31.3
2010-12-17,Min,17
2010-12-18,Max,30.5
2010-12-18,Min,14.8
2010-12-19,Max,28.8
2010-12-19,Min,15.1
2010-12-20,Max,26.8
2010-12-20,Min,14.8
2010-12-21,Max,34
2010-12-21,Min,17.2
2010-12-22,Max,32.2
2010-12-22,Min,20.9
2010-12-23,Max,35.5
2010-12-23,Min,22.4
2010-12-24,Max,31.2
2010-12-24,Min,20.5
2010-12-25,Max,39.9
2010-12-25,Min,18.6
2010-12-26,Max,36.7
2010-12-26,Min,19.9
2010-12-27,Max,40
2010-12-27,Min,21.5
2010-12-28,Max,30.7
2010-12-28,Min,19.9
2010-12-29,Max,28.9
2010-12-29,Min,17.4
2010-12-30,Max,31.7
2010-12-30,Min,15.9
2010-12-31,Max,32.9
2010-12-31,Min,19.6
2011-01-01,Max,36.4
2011-01-01,Min,17.4
2011-01-02,Max,39
2011-01-02,Min,18.7
2011-01-03,Max,34.7
2011-01-03,Min,25.2
2011-01-04,Max,36.5
2011-01-04,Min,22.3
2011-01-05,Max,28.5
2011-01-05,Min,23.8
2011-01-06,Max,25.8
2011-01-06,Min,18.6
2011-01-07,Max,25.1
2011-01-07,Min,17.5
2011-01-08,Max,30.5
2011-01-08,Min,17.1
2011-01-09,Max,36.6
2011-01-09,Min,18.8
2011-01-10,Max,36.4
2011-01-10,Min,22.2
2011-01-11,Max,34.7
2011-01-11,Min,18.4
2011-01-12,Max,36.9
2011-01-12,Min,19.5
2011-01-13,Max,34.1
2011-01-13,Min,19.8
2011-01-14,Max,25.1
2011-01-14,Min,18
2011-01-15,Max,27.9
2011-01-15,Min,15
2011-01-16,Max,36.3
2011-01-16,Min,17.5
2011-01-17,Max,36.2
2011-01-17,Min,20
2011-01-18,Max,32.4
2011-01-18,Min,18.6
2011-01-19,Max,30.5
2011-01-19,Min,18.7
2011-01-20,Max,27.7
2011-01-20,Min,16.4
2011-01-21,Max,34.2
2011-01-21,Min,19.1
2011-01-22,Max,33.2
2011-01-22,Min,18.2
2011-01-23,Max,29.5
2011-01-23,Min,20.4
2011-01-24,Max,22.6
2011-01-24,Min,18.5
2011-01-25,Max,25.8
2011-01-25,Min,13.1
2011-01-26,Max,28.4
2011-01-26,Min,15.5
2011-01-27,Max,37.8
2011-01-27,Min,18.5
2011-01-28,Max,38.1
2011-01-28,Min,26.1
2011-01-29,Max,40.4
2011-01-29,Min,23.7
2011-01-30,Max,37.6
2011-01-30,Min,23.7
2011-01-31,Max,28.4
2011-01-31,Min,22.8
2011-02-01,Max,29.8
2011-02-01,Min,17.9
2011-02-02,Max,32.5
2011-02-02,Min,15.8
2011-02-03,Max,35.5
2011-02-03,Min,19.7
2011-02-04,Max,34.4
2011-02-04,Min,22.9
2011-02-05,Max,29.6
2011-02-05,Min,18.4
2011-02-06,Max,30.1
2011-02-06,Min,16
2011-02-07,Max,32.4
2011-02-07,Min,18.3
2011-02-08,Max,33.8
2011-02-08,Min,21.6
2011-02-09,Max,31.1
2011-02-09,Min,20.1
2011-02-10,Max,35.1
2011-02-10,Min,20.9
2011-02-11,Max,32.3
2011-02-11,Min,20.5
2011-02-12,Max,31.7
2011-02-12,Min,19.3
2011-02-13,Max,32.9
2011-02-13,Min,17.9
2011-02-14,Max,34.3
2011-02-14,Min,21.1
2011-02-15,Max,36.3
